============================================================================================
Box Size: 2.25 X 1 X 0.8 M
Kinect Position: 0.6, 0.35, 0.35
Experiment Time: 10/07/2013 3:52:42 PM and Ticks:635167579620106840
============================================================================================
EVENTTYPE | EVENT# | HANDTYPE | X | Y | Z | TIME | STOPWATCH(ms) | SKELETON ID
SKT | OUT | 0.3783317 | 0.01296799 | 2.386067 | 3:53:22PM | 40483 | 109
SKT | OUT | 0.3847194 | 0.01114571 | 2.376378 | 3:53:22PM | 40517 | 109
SKT | OUT | 0.3903342 | 0.008230486 | 2.367326 | 3:53:22PM | 40550 | 109
SKT | OUT | 0.3989914 | -0.004546705 | 2.358543 | 3:53:22PM | 40583 | 109
SKT | OUT | 0.4117874 | -0.003280759 | 2.345388 | 3:53:22PM | 40619 | 109
SKT | OUT | 0.4217301 | 0.00288666 | 2.333509 | 3:53:22PM | 40651 | 109
SKT | OUT | 0.4344042 | -0.01081396 | 2.321392 | 3:53:22PM | 40682 | 109
SKT | OUT | 0.4525969 | -0.004019845 | 2.303903 | 3:53:22PM | 40720 | 109
SKT | OUT | 0.4714408 | -0.01582083 | 2.290026 | 3:53:22PM | 40751 | 109
SKT | OUT | 0.4852776 | -0.004289015 | 2.275207 | 3:53:22PM | 40786 | 109
SKT | OUT | 0.4988019 | -0.007906518 | 2.26002 | 3:53:22PM | 40813 | 109
SKT | OUT | 0.5127804 | -0.002374616 | 2.249067 | 3:53:22PM | 40847 | 109
SKT | OUT | 0.5224475 | -0.004564232 | 2.23884 | 3:53:22PM | 40878 | 109
SKT | OUT | 0.5327777 | 0.001610057 | 2.226426 | 3:53:22PM | 40913 | 109
SKT | OUT | 0.540843 | 0.002373804 | 2.218404 | 3:53:22PM | 40946 | 109
SKT | OUT | 0.5479908 | 0.008130538 | 2.20821 | 3:53:22PM | 40978 | 109
SKT | OUT | 0.5549174 | 0.01303712 | 2.201555 | 3:53:23PM | 41018 | 109
SKT | OUT | 0.5582315 | 0.011226 | 2.194809 | 3:53:23PM | 41055 | 109
SKT | OUT | 0.5628623 | 0.01340329 | 2.188022 | 3:53:23PM | 41078 | 109
SKT | OUT | 0.563117 | 0.01783155 | 2.182423 | 3:53:23PM | 41114 | 109
SKT | OUT | 0.5656695 | 0.02581971 | 2.176119 | 3:53:23PM | 41145 | 109
SKT | OUT | 0.5658718 | 0.02050279 | 2.171722 | 3:53:23PM | 41187 | 109
SKT | OUT | 0.5652372 | 0.01271792 | 2.170962 | 3:53:23PM | 41218 | 109
SKT | OUT | 0.5641268 | 0.02450339 | 2.167805 | 3:53:23PM | 41249 | 109
SKT | OUT | 0.5628763 | 0.02886537 | 2.16465 | 3:53:23PM | 41306 | 109
SKT | OUT | 0.5621179 | 0.03328818 | 2.164666 | 3:53:23PM | 41323 | 109
